Nombre,Teléfono,Web actual,Punto crítico detectado,Análisis de mejoras,Nicho,Sub_Nicho
Ropa Flores,999 355 8219,Ninguna,Reseñas variables y falta de sitio web que dé confianza.,Una web profesional y herramientas de atención automática mejorarían la percepción de servicio y ayudarían a captar mejores testimonios.,Comercio Local (Retail / Servicios),Ropa y Calzado
Boutique Maya Avenida,999 329 7391,wa.me,Solo link de WhatsApp en perfil.,Sitio web estructurado como embudo de ventas conectado a WhatsApp para perfilar el interés antes del contacto.,Comercio Local (Retail / Servicios),Ropa y Calzado
Zapatería Dzib,999 743 6049,Ninguna,No tiene sitio web propio ni redes optimizadas.,Catálogo de servicios y precios en web propia para facilitar la decisión de compra sin necesidad de contacto inicial.,Comercio Local (Retail / Servicios),Ropa y Calzado
Boutique Maya,999 756 7561,Ninguna,Sin sitio web ni sistema de reservas.,Agenda online interactiva 24/7 para permitir citas fuera de horario y reducir carga telefónica.,Comercio Local (Retail / Servicios),Ropa y Calzado
Boutique Sur Plaza,999 883 2015,Ninguna,Sin sitio web (presencia basada solo en Maps).,Una Landing Page con SEO local permitiría captar tráfico orgánico de búsquedas en zonas aledañas y aumentar las conversiones.,Comercio Local (Retail / Servicios),Ropa y Calzado
Ropa Hidalgo,999 554 8249,Ninguna,No tiene sitio web propio ni redes optimizadas.,Catálogo de servicios y precios en web propia para facilitar la decisión de compra sin necesidad de contacto inicial.,Comercio Local (Retail / Servicios),Ropa y Calzado
Zapatería Guzmán,999 420 3617,Ninguna,Sin sitio web (presencia basada solo en Maps).,Una Landing Page con SEO local permitiría captar tráfico orgánico de búsquedas en zonas aledañas y aumentar las conversiones.,Comercio Local (Retail / Servicios),Ropa y Calzado
Boutique Progreso,999 889 8816,Ninguna,No tiene sitio web propio ni redes optimizadas.,Catálogo de servicios y precios en web propia para facilitar la decisión de compra sin necesidad de contacto inicial.,Comercio Local (Retail / Servicios),Ropa y Calzado
Boutique Conkal 24/7,999 173 6008,instagram.com,Solo página de Instagram sin enlaces de reserva.,Portafolio de trabajos y agenda online en web propia para proyectar mayor nivel y automatizar las reservas de citas directas.,Comercio Local (Retail / Servicios),Ropa y Calzado
Boutique Sur,999 776 6827,instagram.com,Solo página de Instagram sin enlaces de reserva.,Portafolio de trabajos y agenda online en web propia para proyectar mayor nivel y automatizar las reservas de citas directas.,Comercio Local (Retail / Servicios),Ropa y Calzado
Boutique Obregón Express,999 635 2607,Ninguna,Reseñas variables y falta de sitio web que dé confianza.,Una web profesional y herramientas de atención automática mejorarían la percepción de servicio y ayudarían a captar mejores testimonios.,Comercio Local (Retail / Servicios),Ropa y Calzado
