Nombre,Teléfono,Web actual,Punto crítico detectado,Análisis de mejoras,Nicho,Sub_Nicho
Carnicería Flores,999 478 2628,Ninguna,No tiene sitio web propio ni redes optimizadas.,Catálogo de servicios y precios en web propia para facilitar la decisión de compra sin necesidad de contacto inicial.,Alimentos y Bebidas,General
Carnicería Montejo,999 255 4585,Ninguna,Reseñas variables y falta de sitio web que dé confianza.,Una web profesional y herramientas de atención automática mejorarían la percepción de servicio y ayudarían a captar mejores testimonios.,Alimentos y Bebidas,General
Carnicería Herrera,999 477 1819,Ninguna,Sin sitio web (presencia basada solo en Maps).,Una Landing Page con SEO local permitiría captar tráfico orgánico de búsquedas en zonas aledañas y aumentar las conversiones.,Alimentos y Bebidas,General
Carnicería San José,999 553 8450,wa.me,Solo link de WhatsApp en perfil.,Sitio web estructurado como embudo de ventas conectado a WhatsApp para perfilar el interés antes del contacto.,Alimentos y Bebidas,General
Carnicería Treviño,999 618 2952,Ninguna,Reseñas variables y falta de sitio web que dé confianza.,Una web profesional y herramientas de atención automática mejorarían la percepción de servicio y ayudarían a captar mejores testimonios.,Alimentos y Bebidas,General
Carnicería Aguilar Express,999 132 2708,facebook.com,Solo página de Facebook desactualizada.,Web propia con botón directo a WhatsApp y mapa interactivo para captar clientes que hoy se perdían en distracciones de redes.,Alimentos y Bebidas,General
Carnicería Castillo Avenida,999 383 2345,Ninguna,No tiene sitio web propio ni redes optimizadas.,Catálogo de servicios y precios en web propia para facilitar la decisión de compra sin necesidad de contacto inicial.,Alimentos y Bebidas,General
Carnicería Gómez Studio,999 915 5488,blogspot.com / wixsite,Dominio gratuito o en plataforma de terceros no optimizada.,Migrar a una web moderna con dominio propio (.com o .mx) y diseño responsive para aumentar dramáticamente la autoridad percibida.,Alimentos y Bebidas,General
Carnicería Castillo,999 961 1831,Ninguna,Sin sitio web (presencia basada solo en Maps).,Una Landing Page con SEO local permitiría captar tráfico orgánico de búsquedas en zonas aledañas y aumentar las conversiones.,Alimentos y Bebidas,General
Carnicería Maya Studio,999 469 1815,instagram.com,Solo página de Instagram sin enlaces de reserva.,Portafolio de trabajos y agenda online en web propia para proyectar mayor nivel y automatizar las reservas de citas directas.,Alimentos y Bebidas,General
Carnicería Altabrisa 24/7,999 704 6986,blogspot.com / wixsite,Dominio gratuito o en plataforma de terceros no optimizada.,Migrar a una web moderna con dominio propio (.com o .mx) y diseño responsive para aumentar dramáticamente la autoridad percibida.,Alimentos y Bebidas,General
Carnicería Pech Plaza,999 152 1087,facebook.com,Solo página de Facebook desactualizada.,Web propia con botón directo a WhatsApp y mapa interactivo para captar clientes que hoy se perdían en distracciones de redes.,Alimentos y Bebidas,General
