Nombre,Teléfono,Web actual,Punto crítico detectado,Análisis de mejoras,Nicho,Sub_Nicho
Cafetería Gutiérrez,999 113 8411,facebook.com,Solo página de Facebook desactualizada.,Web propia con botón directo a WhatsApp y mapa interactivo para captar clientes que hoy se perdían en distracciones de redes.,Alimentos y Bebidas,Cafeterías
Cafetería Oriente 24/7,999 431 9402,Ninguna,Sin sitio web ni sistema de reservas.,Agenda online interactiva 24/7 para permitir citas fuera de horario y reducir carga telefónica.,Alimentos y Bebidas,Cafeterías
Cafetería Reyes,999 169 6998,instagram.com,Solo página de Instagram sin enlaces de reserva.,Portafolio de trabajos y agenda online en web propia para proyectar mayor nivel y automatizar las reservas de citas directas.,Alimentos y Bebidas,Cafeterías
Cafetería Maya Premium,999 683 1942,blogspot.com / wixsite,Dominio gratuito o en plataforma de terceros no optimizada.,Migrar a una web moderna con dominio propio (.com o .mx) y diseño responsive para aumentar dramáticamente la autoridad percibida.,Alimentos y Bebidas,Cafeterías
Cafetería Martínez,999 268 5692,Ninguna,No tiene sitio web propio ni redes optimizadas.,Catálogo de servicios y precios en web propia para facilitar la decisión de compra sin necesidad de contacto inicial.,Alimentos y Bebidas,Cafeterías
Cafetería Sánchez Pro,999 973 9042,Ninguna,Sin sitio web (presencia basada solo en Maps).,Una Landing Page con SEO local permitiría captar tráfico orgánico de búsquedas en zonas aledañas y aumentar las conversiones.,Alimentos y Bebidas,Cafeterías
Cafetería Hidalgo del Parque,999 212 1704,Ninguna,Reseñas variables y falta de sitio web que dé confianza.,Una web profesional y herramientas de atención automática mejorarían la percepción de servicio y ayudarían a captar mejores testimonios.,Alimentos y Bebidas,Cafeterías
Cafetería Chávez,999 655 2264,Ninguna,No tiene sitio web propio ni redes optimizadas.,Catálogo de servicios y precios en web propia para facilitar la decisión de compra sin necesidad de contacto inicial.,Alimentos y Bebidas,Cafeterías
Cafetería Méndez,999 506 7327,blogspot.com / wixsite,Dominio gratuito o en plataforma de terceros no optimizada.,Migrar a una web moderna con dominio propio (.com o .mx) y diseño responsive para aumentar dramáticamente la autoridad percibida.,Alimentos y Bebidas,Cafeterías
Cafetería San José,999 567 5104,instagram.com,Solo página de Instagram sin enlaces de reserva.,Portafolio de trabajos y agenda online en web propia para proyectar mayor nivel y automatizar las reservas de citas directas.,Alimentos y Bebidas,Cafeterías
Cafetería Juárez Express,999 109 3135,blogspot.com / wixsite,Dominio gratuito o en plataforma de terceros no optimizada.,Migrar a una web moderna con dominio propio (.com o .mx) y diseño responsive para aumentar dramáticamente la autoridad percibida.,Alimentos y Bebidas,Cafeterías
Cafetería Chi Pro,999 316 1685,facebook.com,Solo página de Facebook desactualizada.,Web propia con botón directo a WhatsApp y mapa interactivo para captar clientes que hoy se perdían en distracciones de redes.,Alimentos y Bebidas,Cafeterías
