Nombre,Teléfono,Nicho,Punto Crítico Detectado,Beneficio Entregado,Link del Demo,Estatus en Embudo (CRM),Notas de Seguimiento,Link Búsqueda Google Maps
"Restaurante Capella","529999306999","Restaurante","Sin presencia web propia","Una landing page con reservaciones directas reduciría la dependencia de llamadas.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Restaurante%20Capella%20M%C3%A9rida%20Yucat%C3%A1n"
"Los Morros Altabrisa","529992289318","Restaurante","Usa Linktree/Drive para menú","Un sitio web profesional con menú integrado mejoraría la retención del usuario.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Los%20Morros%20Altabrisa%20M%C3%A9rida%20Yucat%C3%A1n"
"Apolo XI Gastrobar","529999306999","Restaurante","Web del hotel no del bar","Una página exclusiva con galería de coctelería atraería más público joven/nocturno.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Apolo%20XI%20Gastrobar%20M%C3%A9rida%20Yucat%C3%A1n"
"Eladio's Altabrisa","529999430101","Restaurante","Menú digital en PDF estático","Un menú interactivo con pedidos vía QR mejoraría la rotación de mesas.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Eladio's%20Altabrisa%20M%C3%A9rida%20Yucat%C3%A1n"
"La Burg","529992354776","Restaurante","Dependencia de FB para menú","Un sitio propio con menú interactivo aumentaría la profesionalidad y captura de datos.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=La%20Burg%20M%C3%A9rida%20Yucat%C3%A1n"
"Restaurante La Mata","529992709120","Restaurante","Menú en Linktree","Un sitio con sección de eventos y menú visualmente atractivo aumentaría las reservas.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Restaurante%20La%20Mata%20M%C3%A9rida%20Yucat%C3%A1n"
"Ariadna Mérida","529999008324","Restaurante","Dependencia de OpenTable","Un sistema de reservas propio ahorraría comisiones y permitiría fidelizar clientes.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Ariadna%20M%C3%A9rida%20M%C3%A9rida%20Yucat%C3%A1n"
"Holoch","529992796363","Restaurante","Menú en Google Drive","Un sitio con menú integrado mejoraría el SEO y la permanencia del cliente en la web.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Holoch%20M%C3%A9rida%20Yucat%C3%A1n"
"Gran Lumière","529995015565","Restaurante","Web básica usa TheFork","Una landing con reserva directa evitaría el pago de comisiones a plataformas externas.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Gran%20Lumi%C3%A8re%20M%C3%A9rida%20Yucat%C3%A1n"
"El Costeño Bistro Mérida","529991657367","Restaurante","Menú en WhatsApp","Un sitio con pedidos directos reduciría la fricción de depender de respuestas humanas.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=El%20Coste%C3%B1o%20Bistro%20M%C3%A9rida%20M%C3%A9rida%20Yucat%C3%A1n"
"Jardín Mastache","529991543698","Restaurante","Sin menú digital oficial","Un menú QR con fotos profesionales atraería a los turistas que buscan rapidez.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Jard%C3%ADn%20Mastache%20M%C3%A9rida%20Yucat%C3%A1n"
"Bem Brasileiro","529999481010","Restaurante","Sitio web básico/estático","Un sistema de reservaciones online evitaría tiempos de espera físicos y cuellos de botella.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Bem%20Brasileiro%20M%C3%A9rida%20Yucat%C3%A1n"
"COCINA ECONÓMICA GABY","529993869327","Restaurante","Sin presencia digital","Un sistema de pedidos vía WhatsApp con catálogo visual aumentaría ventas locales.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=COCINA%20ECON%C3%93MICA%20GABY%20M%C3%A9rida%20Yucat%C3%A1n"
"Cocina La Bendición","529997387205","Restaurante","Sin presencia digital","Una landing sencilla para el menú del día captaría más comensales de oficinas.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Cocina%20La%20Bendici%C3%B3n%20M%C3%A9rida%20Yucat%C3%A1n"
"Cocina “El sabor de la 31”","529991911982","Restaurante","Sin presencia digital","Un menú digital QR facilitaría la elección de platillos y agilizaría el servicio.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Cocina%20%E2%80%9CEl%20sabor%20de%20la%2031%E2%80%9D%20M%C3%A9rida%20Yucat%C3%A1n"
"Cocina La Estufita","529992248159","Restaurante","Sin presencia digital","Presencia en Google con sitio web sencillo mejoraría el alcance en fraccionamientos.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Cocina%20La%20Estufita%20M%C3%A9rida%20Yucat%C3%A1n"
"Barrio Napoli Pizzería","529995181079","Restaurante","Menú digital básico","Un sistema de pedidos directo con gestión de envíos optimizaría su logística.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Barrio%20Napoli%20Pizzer%C3%ADa%20M%C3%A9rida%20Yucat%C3%A1n"
"Pizzeria 48","529994372893","Restaurante","Sin sitio web propio","Un sitio con menú visual y reserva para eventos pequeños aumentaría la recurrencia.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Pizzeria%2048%20M%C3%A9rida%20Yucat%C3%A1n"
"Nico's Pizza","529999444444","Restaurante","Menú digital estático","Un catálogo interactivo con personalización de ingredientes elevaría el ticket promedio.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Nico's%20Pizza%20M%C3%A9rida%20Yucat%C3%A1n"
"Mizzica Pizzería","529996888459","Restaurante","Sitio web lento/básico","Optimización de carga y sistema de fidelización integrado para clientes frecuentes.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Mizzica%20Pizzer%C3%ADa%20M%C3%A9rida%20Yucat%C3%A1n"
"Il calabrese pizzería","529995015476","Restaurante","Menú digital estático","Un sistema de pedidos directo mejoraría los márgenes frente a apps de delivery.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Il%20calabrese%20pizzer%C3%ADa%20M%C3%A9rida%20Yucat%C3%A1n"
"Pizza E Core","529999231541","Restaurante","Menú en Facebook/WA","Un sitio con menú interactivo y reserva de mesas para su ambiente acogedor.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Pizza%20E%20Core%20M%C3%A9rida%20Yucat%C3%A1n"
"La Fogatta Plus","529999204040","Restaurante","Dependencia de terceros","Un sistema de pedidos propio para reducir costos operativos y fidelizar locales.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=La%20Fogatta%20Plus%20M%C3%A9rida%20Yucat%C3%A1n"
"Zavi Pizza","529996889580","Restaurante","Sin presencia oficial","Una landing page con menú interactivo y pedidos automatizados vía WhatsApp.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Zavi%20Pizza%20M%C3%A9rida%20Yucat%C3%A1n"
"Al Forno","529999440404","Restaurante","No optimizado para móviles","Un diseño responsive con menú visual y pedidos directos aumentaría las ventas móviles.","https://demo-restaurantes-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Al%20Forno%20M%C3%A9rida%20Yucat%C3%A1n"
"You Beauty Bar","529992795643","Belleza","Sin sitio web ni sistema de reservas","Agenda online interactiva 24/7 para permitir citas fuera de horario y reducir carga telefónica.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=You%20Beauty%20Bar%20M%C3%A9rida%20Yucat%C3%A1n"
"By Genaro Martinez Salones","529993381841","Belleza","Sin sitio web","Galería de trabajos en web propia para proyectar profesionalismo y atraer clientes de gama alta.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=By%20Genaro%20Martinez%20Salones%20M%C3%A9rida%20Yucat%C3%A1n"
"Salon de Belleza LINETTE","529991963014","Belleza","Solo página de Instagram","Recordatorio de citas por WhatsApp integrado en web propia para reducir inasistencias y fidelizar clientes.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Salon%20de%20Belleza%20LINETTE%20M%C3%A9rida%20Yucat%C3%A1n"
"Moreti Studio","529992875560","Belleza","Solo página de Facebook","Catálogo de servicios y precios en web propia para facilitar la decisión de compra sin necesidad de preguntar.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Moreti%20Studio%20M%C3%A9rida%20Yucat%C3%A1n"
"Salón de Belleza Beauty Center","529993112956","Belleza","Sin sitio web","Sistema de agenda interactiva para gestionar el flujo de clientes y destacar en zona competitiva.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Sal%C3%B3n%20de%20Belleza%20Beauty%20Center%20M%C3%A9rida%20Yucat%C3%A1n"
"Marmalade Nail Spa & Studio","529993353733","Belleza","Sin sitio web","Agenda online 24/7 con selección de servicios específicos para optimizar el tiempo del personal.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Marmalade%20Nail%20Spa%20%26%20Studio%20M%C3%A9rida%20Yucat%C3%A1n"
"Palmeros Salón de Belleza y Barbi.","529991254425","Belleza","Sin sitio web","Galería de trabajos en web propia y sistema de reservas para atraer clientes que buscan profesionalismo.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Palmeros%20Sal%C3%B3n%20de%20Belleza%20y%20Barbi.%20M%C3%A9rida%20Yucat%C3%A1n"
"Salón dasovy","529991338216","Belleza","Solo link de WhatsApp","Web propia con sistema de reservas para automatizar confirmaciones y profesionalizar la marca.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Sal%C3%B3n%20dasovy%20M%C3%A9rida%20Yucat%C3%A1n"
"Gavá Studio","529993876622","Belleza","Solo página de Facebook","Galería de trabajos interactiva en web propia para no depender de algoritmos de redes sociales.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Gav%C3%A1%20Studio%20M%C3%A9rida%20Yucat%C3%A1n"
"Salon Herrera","529993283840","Belleza","Sin sitio web","Galería de trabajos y mapa interactivo para captar clientes en la zona ejecutiva de Paseo 60.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Salon%20Herrera%20M%C3%A9rida%20Yucat%C3%A1n"
"Matissé By Erick Rodríguez","529991413725","Belleza","Sin sitio web","Web propia con Galería profesional y agenda online para captar clientes que valoran la imagen.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Matiss%C3%A9%20By%20Erick%20Rodr%C3%ADguez%20M%C3%A9rida%20Yucat%C3%A1n"
"ESTÉTICA UNISEX HoLa","529999533401","Belleza","Sin sitio web","Sistema de agenda interactivo para facilitar reservas inmediatas en la zona de Plaza Isabel.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=EST%C3%89TICA%20UNISEX%20HoLa%20M%C3%A9rida%20Yucat%C3%A1n"
"STUDIO DISEÑO DE IMAGEN","529999535165","Belleza","Sin sitio web","Galería de trabajos y agenda online para atraer clientes buscando cambios de imagen personalizados.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=STUDIO%20DISE%C3%91O%20DE%20IMAGEN%20M%C3%A9rida%20Yucat%C3%A1n"
"Chary Salón de Belleza","529999196170","Belleza","Dominio Blogspot sin optimizar","Migrar a una web moderna con sistema de reservas para mejorar la experiencia móvil y conversión.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Chary%20Sal%C3%B3n%20de%20Belleza%20M%C3%A9rida%20Yucat%C3%A1n"
"Gema Beauty Studio","529992967358","Belleza","Solo página de Instagram","Portafolio de trabajos y agenda online en web propia para captar clientes de alta calidad.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Gema%20Beauty%20Studio%20M%C3%A9rida%20Yucat%C3%A1n"
"Gemakeup and Beauty","529831102937","Belleza","Sin sitio web","Sistema de agenda online y recordatorios por WhatsApp para reducir el ausentismo escolarizado.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Gemakeup%20and%20Beauty%20M%C3%A9rida%20Yucat%C3%A1n"
"Xoxo beauty salon","529993579407","Belleza","Solo página de Facebook","Web propia con catálogo de servicios de estética avanzada para diferenciarse como centro especializado.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Xoxo%20beauty%20salon%20M%C3%A9rida%20Yucat%C3%A1n"
"Lomeli Salón Studio","529995430126","Belleza","Sin web propia (solo links)","Sitio web propio vinculado al sistema de reservas bit.ly para mayor confianza y percepción de marca.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Lomeli%20Sal%C3%B3n%20Studio%20M%C3%A9rida%20Yucat%C3%A1n"
"Luz Vásquez salón","529992334415","Belleza","Solo página de Facebook","Web propia con Galería organizada y sistema de reservas para atraer clientes de servicios integrales.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Luz%20V%C3%A1squez%20sal%C3%B3n%20M%C3%A9rida%20Yucat%C3%A1n"
"Viridiana Galicia Beauty Studio","529995103082","Belleza","Solo página de Instagram","Web propia con Galería categorizada y agenda online para captar clientes Premium.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Viridiana%20Galicia%20Beauty%20Studio%20M%C3%A9rida%20Yucat%C3%A1n"
"La Pelu d'Heoni","529995013060","Belleza","Sin sitio web","Agenda online y Galería de trabajos para atraer clientes buscando una peluquería moderna y organizada.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=La%20Pelu%20d'Heoni%20M%C3%A9rida%20Yucat%C3%A1n"
"Studio 54","529991298283","Belleza","Sin sitio web","Agenda interactiva y recordatorios automáticos para fidelizar a su amplia base de clientes (153 reseñas).","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Studio%2054%20M%C3%A9rida%20Yucat%C3%A1n"
"Cuatro Cuatro Salón","529995708894","Belleza","Solo página de Instagram","Web propia con Galería de trabajos y reservas para captar clientes que buscan calidad y conveniencia.","https://demo-salones-mid.surge.sh","1. Lead Frío","-","https://www.google.com/maps/search/?api=1&query=Cuatro%20Cuatro%20Sal%C3%B3n%20M%C3%A9rida%20Yucat%C3%A1n"
